31,0,4,0,4,3,3,5
1,28,5,8,3,0,3,2
0,8,25,1,1,3,3,9
1,4,1,33,8,3,0,0
1,0,6,17,15,4,6,1
2,0,5,0,4,33,3,3
9,1,1,1,8,5,22,3
4,5,8,1,2,3,8,19
